Date,Exercise,Type,Exercise Calories,Exercise Minutes,Sets,Reps Per Set,Pounds,Steps,Note
2025-06-02,"""Bicycling, 10-12 mph, light (cycling, biking, bike riding)""",Cardio,103.0,9,,,,,
2025-06-02,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,141.0,12,,,,,
2025-06-02,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,502.0,35,,,,,
2025-06-03,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,588.0,46,,,,,
2025-06-04,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,135.0,14,,,,,
2025-06-05,"""Aerobics, general""",Cardio,443.0,46,,,,,
2025-06-09,"""Bicycling, 10-12 mph, light (cycling, biking, bike riding)""",Cardio,123.0,11,,,,,
2025-06-10,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,169.0,16,,,,,
2025-06-11,"""Bicycling, 10-12 mph, light (cycling, biking, bike riding)""",Cardio,98.0,11,,,,,
2025-06-11,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,149.0,15,,,,,
2025-06-13,"""Aerobics, general""",Cardio,492.0,44,,,,,
2025-06-15,"""Aerobics, general""",Cardio,539.0,49,,,,,
2025-06-16,"""Bicycling, 10-12 mph, light (cycling, biking, bike riding)""",Cardio,115.0,12,,,,,
2025-06-16,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,147.0,14,,,,,
2025-06-16,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,433.0,35,,,,,
2025-06-17,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,127.0,13,,,,,
2025-06-17,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,458.0,36,,,,,
2025-06-17,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,129.0,12,,,,,
2025-06-18,"""Aerobics, general""",Cardio,446.0,44,,,,,
2025-06-19,"""Bicycling, 10-12 mph, light (cycling, biking, bike riding)""",Cardio,119.0,12,,,,,
2025-06-19,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,122.0,12,,,,,
2025-06-19,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,468.0,35,,,,,
2025-06-20,"""Aerobics, general""",Cardio,520.0,45,,,,,
2025-06-22,"""Aerobics, general""",Cardio,482.0,46,,,,,
2025-06-23,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,442.0,35,,,,,
2025-06-23,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,117.0,12,,,,,
2025-06-24,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,457.0,35,,,,,
2025-06-24,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,125.0,13,,,,,
2025-06-25,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,213.0,17,,,,,
2025-06-25,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,460.0,35,,,,,
2025-06-27,"""Aerobics, general""",Cardio,527.0,46,,,,,
2025-06-29,"""Aerobics, general""",Cardio,572.0,51,,,,,
2025-06-30,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,146.0,14,,,,,
2025-06-30,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,500.0,35,,,,,
2025-06-30,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,117.0,13,,,,,
2025-07-01,"""Bicycling, 10-12 mph, light (cycling, biking, bike riding)""",Cardio,120.0,11,,,,,
2025-07-01,"""Bicycling, 10-12 mph, light (cycling, biking, bike riding)""",Cardio,112.0,11,,,,,
2025-07-01,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,488.0,35,,,,,
2025-07-02,"""Aerobics, general""",Cardio,479.0,44,,,,,
2025-07-06,"""Aerobics, general""",Cardio,515.0,44,,,,,
2025-07-07,"""Bicycling, 10-12 mph, light (cycling, biking, bike riding)""",Cardio,146.0,11,,,,,
2025-07-07,"""Bicycling, 10-12 mph, light (cycling, biking, bike riding)""",Cardio,135.0,12,,,,,
2025-07-07,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,551.0,42,,,,,
2025-07-08,"""Bicycling, 10-12 mph, light (cycling, biking, bike riding)""",Cardio,117.0,12,,,,,
2025-07-08,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,178.0,19,,,,,
2025-07-08,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,438.0,35,,,,,
2025-07-09,"""Bicycling, 10-12 mph, light (cycling, biking, bike riding)""",Cardio,111.0,11,,,,,
2025-07-09,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,165.0,17,,,,,
2025-07-09,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,443.0,35,,,,,
2025-07-10,"""Aerobics, general""",Cardio,512.0,49,,,,,
2025-07-11,"""Aerobics, general""",Cardio,480.0,54,,,,,
2025-07-21,"""Bicycling, 12-14 mph, moderate (cycling, biking, bike riding)""",Cardio,127.0,10,,,,,
2025-07-21,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,722.0,53,,,,,
2025-07-21,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,150.0,15,,,,,
2025-07-22,"""Bicycling, 12-14 mph, moderate (cycling, biking, bike riding)""",Cardio,125.0,9,,,,,
2025-07-22,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,514.0,36,,,,,
2025-07-23,"""Bicycling, 10-12 mph, light (cycling, biking, bike riding)""",Cardio,131.0,11,,,,,
2025-07-23,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,479.0,36,,,,,
2025-07-24,"""Aerobics, general""",Cardio,546.0,49,,,,,
2025-07-26,"""Aerobics, general""",Cardio,537.0,50,,,,,
2025-07-28,"""Bicycling, 10-12 mph, light (cycling, biking, bike riding)""",Cardio,125.0,12,,,,,
2025-07-28,"""Bicycling, 12-14 mph, moderate (cycling, biking, bike riding)""",Cardio,92.0,9,,,,,
2025-07-28,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,419.0,35,,,,,
2025-07-29,"""Aerobics, general""",Cardio,177.0,16,,,,,
2025-07-29,"""Bicycling, 10-12 mph, light (cycling, biking, bike riding)""",Cardio,116.0,12,,,,,
2025-07-29,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,350.0,36,,,,,
2025-07-29,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,101.0,13,,,,,
2025-07-30,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,146.0,13,,,,,
2025-07-30,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,432.0,36,,,,,
2025-07-30,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,125.0,12,,,,,
2025-08-01,"""Aerobics, general""",Cardio,566.0,48,,,,,
2025-08-02,"""Aerobics, general""",Cardio,524.0,41,,,,,
2025-08-04,"""Bicycling, 10-12 mph, light (cycling, biking, bike riding)""",Cardio,114.0,11,,,,,
2025-08-04,"""Bicycling, 12-14 mph, moderate (cycling, biking, bike riding)""",Cardio,120.0,11,,,,,
2025-08-04,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,505.0,40,,,,,
2025-08-05,"""Bicycling, 10-12 mph, light (cycling, biking, bike riding)""",Cardio,102.0,12,,,,,
2025-08-05,"""Bicycling, 12-14 mph, moderate (cycling, biking, bike riding)""",Cardio,104.0,10,,,,,
