Date,Meal,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Trans Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron,Note
2025-09-03,Breakfast,406.0,17.4,3.0,1.5,12.0,0.0,6.0,495.0,765.0,38.2,3.0,11.2,27.8,0.0,0.0,56.0,12.0,
2025-09-03,Dinner,707.5,37.3,9.3,6.0,2.5,0.0,90.0,1327.5,812.3,58.5,7.3,15.5,37.5,0.0,0.0,35.4,24.7,
2025-09-03,Lunch,684.5,24.0,4.1,10.6,7.9,0.0,46.0,287.0,1445.2,69.7,9.7,50.1,54.2,0.0,38.9,64.8,21.5,
2025-09-03,Snacks,369.6,6.2,3.0,1.0,0.0,0.0,90.0,586.5,1184.0,25.8,3.0,20.6,55.3,0.0,0.0,25.7,1.1,
2025-09-04,Breakfast,418.0,17.0,3.0,1.5,12.0,0.0,6.0,507.0,789.0,46.6,3.0,18.4,21.8,12.0,12.0,44.0,12.0,
2025-09-04,Dinner,460.8,7.6,2.5,0.3,0.1,0.0,82.5,714.1,477.3,59.6,6.0,8.1,42.4,0.0,40.7,12.0,27.8,
2025-09-04,Lunch,743.9,32.5,15.4,0.0,0.0,0.0,66.1,2303.8,0.0,85.7,6.6,18.2,33.1,54.0,0.0,38.2,78.0,
2025-09-04,Snacks,626.9,12.5,8.1,0.1,0.0,0.0,20.0,311.9,911.3,94.3,11.0,67.8,40.9,0.0,19.4,25.9,26.6,
2025-09-05,Breakfast,418.0,17.0,3.0,1.5,12.0,0.0,6.0,507.0,789.0,46.6,3.0,18.4,21.8,12.0,12.0,44.0,12.0,
2025-09-05,Dinner,1186.0,60.0,25.1,0.0,0.0,0.3,127.9,2835.2,0.0,112.8,6.1,11.3,58.5,41.0,7.0,37.0,26.0,
2025-09-05,Lunch,715.7,17.8,7.6,1.4,9.0,1.5,187.5,1277.6,1309.7,101.0,16.6,14.1,41.0,6.0,59.0,18.0,49.8,
2025-09-05,Snacks,154.3,4.8,1.4,0.3,0.8,0.0,6.0,2.6,69.7,26.0,1.4,15.5,2.0,0.0,0.0,1.2,9.0,
2025-09-06,Breakfast,418.0,17.0,3.0,1.5,12.0,0.0,6.0,507.0,789.0,46.6,3.0,18.4,21.8,12.0,12.0,44.0,12.0,
2025-09-06,Dinner,424.0,11.9,3.6,6.2,1.0,0.0,50.0,287.0,1006.5,43.9,4.5,29.1,39.4,86.6,30.6,51.8,19.4,
2025-09-06,Lunch,976.0,39.0,21.3,0.0,0.0,0.3,112.9,2445.2,0.0,109.8,6.1,9.8,57.0,41.0,4.0,34.0,26.0,
2025-09-06,Snacks,553.9,12.3,1.4,2.2,9.9,0.0,0.0,880.5,764.4,94.4,17.4,39.2,19.2,6.0,33.7,20.2,34.3,
2025-09-07,Breakfast,140.0,3.0,2.0,0.0,0.0,0.0,20.0,140.0,282.0,8.0,1.0,6.0,20.0,0.0,0.0,19.5,0.0,
2025-09-07,Dinner,1136.0,55.5,8.8,27.8,12.3,0.4,109.5,1290.9,915.5,115.5,8.5,43.8,44.9,22.4,34.4,23.2,54.3,
2025-09-07,Lunch,1333.4,63.0,25.3,8.0,21.3,0.0,1131.6,1689.6,1477.9,114.7,11.1,70.3,75.0,14.2,83.0,95.1,55.8,
2025-09-08,Breakfast,418.0,17.0,3.0,1.5,12.0,0.0,6.0,507.0,789.0,46.6,3.0,18.4,21.8,12.0,12.0,44.0,12.0,
2025-09-08,Dinner,558.0,14.2,3.3,6.8,1.8,0.0,50.0,467.0,922.4,67.3,5.7,39.6,46.0,13.5,12.4,61.0,29.1,
2025-09-08,Lunch,760.0,22.0,9.0,0.0,0.0,0.0,0.0,1895.0,0.0,35.0,19.0,10.0,45.0,17.0,32.0,26.0,35.0,
2025-09-08,Snacks,578.8,11.8,2.8,0.6,1.6,0.0,12.1,818.6,495.5,105.0,6.0,35.3,11.0,0.0,8.0,7.9,42.6,
2025-09-09,Breakfast,418.0,17.0,3.0,1.5,12.0,0.0,6.0,507.0,789.0,46.6,3.0,18.4,21.8,12.0,12.0,44.0,12.0,
2025-09-09,Dinner,601.5,13.0,2.6,0.9,1.8,0.0,240.5,1024.5,456.0,90.5,8.0,13.1,29.2,0.0,0.0,14.4,20.9,
2025-09-09,Lunch,929.2,51.1,14.8,8.4,10.3,0.0,130.4,969.8,898.1,72.6,2.3,0.4,41.4,0.6,16.6,2.3,8.7,
2025-09-09,Snacks,455.9,9.8,1.4,1.2,8.9,0.0,0.0,676.5,644.4,82.8,15.4,35.4,12.4,6.0,33.7,7.2,14.3,
2025-09-10,Breakfast,418.0,17.0,3.0,1.5,12.0,0.0,6.0,507.0,789.0,46.6,3.0,18.4,21.8,12.0,12.0,44.0,12.0,
2025-09-10,Dinner,801.1,22.0,4.6,7.2,9.7,0.0,50.0,950.0,1680.0,108.2,21.5,49.0,51.3,75.8,86.4,59.9,31.0,
2025-09-10,Lunch,1026.7,43.0,7.5,11.7,7.0,0.0,135.3,2056.2,1000.6,117.4,6.4,6.7,43.3,36.5,58.7,11.7,32.0,
2025-09-10,Snacks,290.0,11.0,6.0,0.0,0.0,0.0,0.0,330.0,213.0,29.0,2.0,17.0,20.0,0.0,0.0,4.1,22.2,
2025-09-11,Breakfast,418.0,17.0,3.0,1.5,12.0,0.0,6.0,507.0,789.0,46.6,3.0,18.4,21.8,12.0,12.0,44.0,12.0,
2025-09-11,Dinner,901.3,25.2,8.0,4.0,10.0,0.0,30.5,1181.9,498.8,139.9,32.3,30.9,33.0,409.4,68.4,52.3,24.1,
2025-09-11,Lunch,1126.8,47.8,11.1,2.8,5.0,0.0,111.9,1983.2,3016.2,106.0,42.4,18.0,86.8,0.0,0.0,50.6,51.4,
2025-09-11,Snacks,80.1,1.7,0.5,0.0,0.0,0.0,0.0,45.3,0.0,15.2,0.2,7.4,1.4,0.0,1.1,0.0,0.0,
2025-09-12,Breakfast,418.0,17.0,3.0,1.5,12.0,0.0,6.0,507.0,789.0,46.6,3.0,18.4,21.8,12.0,12.0,44.0,12.0,
