Date,Weight
9/3/2025,250
10/13/2025,243
10/20/2025,237.4
10/21/2025,238.4
10/22/2025,237
10/23/2025,237
10/24/2025,237
10/25/2025,236.2
10/26/2025,235.8
10/27/2025,235.8
10/28/2025,236
10/30/2025,234.4
10/31/2025,234.4
11/1/2025,234.6
11/3/2025,234.6
11/4/2025,234.6
11/6/2025,233.6
11/8/2025,233.6
11/9/2025,230.8
11/10/2025,231
11/11/2025,231.8
11/12/2025,232
11/13/2025,231.4
11/17/2025,231.4
11/18/2025,232.2
11/19/2025,232
11/20/2025,230.6
11/21/2025,229.4
11/24/2025,230
11/26/2025,229.2
11/27/2025,229.2
11/28/2025,228.4
12/1/2025,228.4
12/2/2025,226.4
12/3/2025,227.2
12/5/2025,226
12/6/2025,226
12/8/2025,226.4
12/10/2025,226.4
12/12/2025,225
12/15/2025,222.8
12/19/2025,222.8
12/20/2025,224
12/23/2025,222.2
12/24/2025,222.2
12/27/2025,223.8
1/3/2026,223.6
1/4/2026,224.6
1/5/2026,223.2
1/6/2026,222.8
1/7/2026,222.2
1/8/2026,222
1/9/2026,222.6
1/10/2026,221.2
1/11/2026,222.2
1/12/2026,221.2
1/13/2026,221.8
1/14/2026,221.4
1/15/2026,221.2
1/16/2026,221.8
1/20/2026,221.2
1/23/2026,218.6
1/25/2026,220
1/26/2026,219.6
1/27/2026,219.6
1/28/2026,219
1/30/2026,217.6
1/31/2026,219.4
2/4/2026,217.4
2/6/2026,217
2/7/2026,217
2/8/2026,215.8
2/9/2026,216.4
2/10/2026,216.4
2/11/2026,217
2/12/2026,217.2
2/13/2026,216.2
2/14/2026,216.4
2/17/2026,216.8
2/18/2026,216.4
2/19/2026,215.8
2/20/2026,215
2/21/2026,214.2
2/26/2026,214.8
2/27/2026,211.4
2/28/2026,213
3/3/2026,215.4
3/4/2026,214.6
3/9/2026,213.6
3/11/2026,212.4
3/13/2026,211.8
3/17/2026,211.4
3/18/2026,210
3/19/2026,210.6
3/20/2026,210
3/21/2026,209.8
3/23/2026,210.6
3/25/2026,209.6
3/26/2026,209.4
,
,
,
